Start Time,Elapsed Time,Machine Name,Login,Level,Message,Exception
2021-02-08 00:00:09.7293,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-08 00:00:09.8143,    0.0850,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Export Mode,
2021-02-08 00:00:09.8213,    0.0070,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From : [PMIIDSUBDEV42\DEV2012].Users Into : C:\BitBucket\Sales Volume\SalesAchievementSimplify\UserConfig\RawData\SVAchHO_RawData_20210208.xlsx using Query : C:\BitBucket\Sales Volume\SalesAchievementSimplify\Query\ach_rawdata_sales.sql,
2021-02-08 00:00:15.5603,    5.7390,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 5831ms,
2021-02-08 00:00:16.2184,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-08 00:00:16.2874,    0.0690,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Export Mode,
2021-02-08 00:00:16.2944,    0.0070,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From : [PMIIDSUBDEV42\DEV2012].Users Into : C:\BitBucket\Sales Volume\SalesAchievementSimplify\UserConfig\RawData\SVAchHO_RawData_20210208.xlsx using Query : C:\BitBucket\Sales Volume\SalesAchievementSimplify\Query\ach_rawdata_return.sql,
2021-02-08 00:00:20.0086,    3.7143,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 3790ms,
2021-02-08 00:10:27.1240,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-08 00:10:27.1960,    0.0720,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Import Mode,
2021-02-08 00:10:27.2060,    0.0100,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From : C:\BitBucket\Sales Volume\SalesAchievementSimplify\UserConfig\SalesPlan\Sales Plan #5 include V2 new.xlsx Into [PMIIDSUBDEV42\DEV2012].Users.dbo.SVAch_BrandBreakdown,
2021-02-08 00:10:27.2160,    0.0100,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Truncate Table : SVAch_BrandBreakdown,
2021-02-08 00:10:27.2160,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Skip Blank Row Enabled,
2021-02-08 00:10:27.2710,    0.0550,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Excel Type : xlsx,
2021-02-08 00:10:29.0879,    1.8170,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 1963ms,
2021-02-08 00:10:38.6984,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-08 00:10:38.7724,    0.0740,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Import Mode,
2021-02-08 00:10:38.7814,    0.0090,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From : C:\BitBucket\Sales Volume\SalesAchievementSimplify\UserConfig\SalesPlan\Sales Plan #5 include V2 new.xlsx Into [PMIIDSUBDEV42\DEV2012].Users.dbo.SVAch_BrandFocus,
2021-02-08 00:10:38.7814,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Truncate Table : SVAch_BrandFocus,
2021-02-08 00:10:38.7984,    0.0170,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Skip Blank Row Enabled,
2021-02-08 00:10:38.9194,    0.1210,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Excel Type : xlsx,
2021-02-08 00:10:39.9758,    1.0564,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Finished. Elapsed time: 1277ms,
2021-02-08 00:30:26.4263,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Application Start,
2021-02-08 00:30:26.4933,    0.0670,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Import Mode,
2021-02-08 00:30:26.4933,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,From : C:\BitBucket\Sales Volume\SalesAchievementSimplify\UserConfig\Setting\BrandV2.xlsx Into [PMIIDSUBDEV42\DEV2012].Users.dbo.SVAch_BrandV2,
2021-02-08 00:30:26.5073,    0.0140,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Truncate Table : SVAch_BrandV2,
2021-02-08 00:30:26.5073,    0.0000,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Skip Blank Row Enabled,
2021-02-08 00:30:26.6164,    0.1091,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Excel Type : xlsx,
